Variable_Name,Name_Length,Code_Display,Code length,Code_Query,Variable_Order,Variable_Key,Description,Unit_or_type,Data_type,Data_length,Dataset,Subset,Group,SubGroup,Set_group_order,Hash_calc,Version_or_questions,Display_Label,Code_synon,MinVal,MaxVal,DSSAT_var,ICASA_standard,AgMIP_data_entry,AgMIP_rating,DSSAT_rating,APSIM_rating,CYCLES
Exp_id,6,EID,,EID,0,,id,,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
treatment_ID,12,TREAT_ID,8,TREAT_ID,1,1,"Treatment identifier, unique internal ID",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,TN,,,,1,-2,0,,,
experiment_ID,13,EXPER_ID,8,EXPER_ID,2,1,"Experiment database key, links to ED table",text,text,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
treatment_number,16,TRTNO,5,TRTNO,3,,Treatment number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,1,,.,TN,,,,1,,0,,,
replicate_number,16,RP,2,RP,4,,Replicate number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,1,,.,.,,,,1,,0,,,
sequence_number,15,SQ,2,SQ,5,,Sequence number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,1,,.,R,,,,1,,0,,,
option_for_crop_in_seq,22,OP,2,OP,6,,Option for crop in sequence,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,O,,,,1,-2,0,,,
crop_component_number,21,CO,2,CO,7,,Crop component number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,C,,,,1,-2,0,,,
treatment_name,14,TRT_NAME,8,TRT_NAME,8,,Treatment name,text,text,31,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,TNAME TNAM,,,,1,,0,,,
genotype_level_number,21,GE,2,GE,9,,Genotype level number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
genotype_level_id,17,GE_id,5,GE_id,10,,Genotype level database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
field_level,11,FL,2,FL,11,,Field level identifier,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
field_level,11,FL_id,5,FL_id,12,,Field level database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
soil_analysis_level,19,SA,2,SA,13,,"Soil analysis, treatment level identifier",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
soil_analysis_level,19,SA_id,5,SA_id,14,,"Soil analysis, database key",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
initial_conditions_level,24,IC,2,IC,15,,Initial conditions level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MI,,,,1,-2,0,,,
initial_conditions_level,24,IC_id,5,IC_id,16,,Initial conditions database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MI,,,,1,-2,0,,,
planting_level,14,PL,2,PL,17,,"Planting, level in treatment structure",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MP,,,,1,-2,0,,,
planting_level,14,PL_id,5,PL_id,18,,"Planting, database key for treatments",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MP,,,,1,-2,0,,,
irrigation_level,16,IR,2,IR,19,,Irrigation level in treatment structure,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
irrigation_level,16,IR_id,5,IR_id,20,,Irrigation level database key for treatments,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
fertilizer_level,16,FE,2,FE,21,,Fertilizer level in treatment structure,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MF,,,,1,-2,0,,,
fertilizer_level,16,FE_id,5,FE_id,22,,Fertilizer level database key for treatments,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MF,,,,1,-2,0,,,
org_materials_applic_lev,24,OM,2,OM,23,,Organic materials application level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MR,,,,1,-2,0,,,
org_materials_applic_lev,24,OM_id,5,OM_id,24,,Organic materials database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MR,,,,1,-2,0,,,
chemical_applic_level,21,CH,2,CH,25,,Chemicals application level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MC,,,,1,-2,0,,,
chemical_applic_level,21,CH_id,5,CH_id,26,,Chemicals application database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MC,,,,1,-2,0,,,
tillage_level,13,TI,2,TI,27,,Tillage operation level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
tillage_level,13,TI_id,5,TI_id,28,,Tillage operation level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
environmental_modif_lev,23,EM,2,EM,29,,Environmental modifications level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,ME,,,,1,-2,0,,,
environmental_modif_lev,23,EM_id,5,EM_id,30,,Environmental modifications database key for treatment levels,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,ME,,,,1,-2,0,,,
harvest_operations_level,24,HA,2,HA,31,,Harvest operations level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,,,,,1,-2,0,,,
harvest_operations_level,24,HA_id,5,HA_id,32,,Harvest operations database key for treatment levels,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,,,,,1,-2,0,,,
simulation_control_level,24,SM,2,SM,35,,Simulation control level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,D,1,-2,0,,,
simulation_control_level,24,SM_id,5,SM_id,36,,Simulation control database key for treatment levels,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,D,1,-2,0,,,
mulch_level,11,ML,2,ML,33,,Mulch treatment level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,Vers 1.1,,,,,,1,-2,0,,,
