Variable_Name,Name_Length,Code_Display,Code length,Code_Query,Variable_Order,Variable_Key,Description,Unit_or_type,Data_type,Data_length,Dataset,Subset,Group,SubGroup,Set_group_order,Hash_calc,Version_or_questions,Display_Label,Code_synon,MinVal,MaxVal,DSSAT_var,ICASA_standard,AgMIP_data_entry,AgMIP_rating,DSSAT_rating,APSIM_rating,CYCLES
soil_profile_methods,,METHODS,,METHODS,1,,Description of methods used to obtain profile data,text,memo,,SOILS,SOIL_METADATA,GENERAL,,4001,0,,,,,,,1,,0,,,
soil_notes,,SL_NOTES,,SL_NOTES,2,,Notes describing soil dataset,text,memo,,SOILS,SOIL_METADATA,GENERAL,,4001,0,,.,.,,,,1,,0,,,
distrib_restrictions,20,SL_DISTRIB,10,SL_DISTRIB,3,,Distribution limitations for the soils data set,text,memo,,SOILS,SOIL_METADATA,GENERAL,,4001,0,"2013-02-14, CHP",.,.,,,,1,-1,0,,,
file_version_sl,15,VERSION_SL,10,VERSION_SL,4,,File version for ICASA standard,text,text,78,SOILS,SOIL_METADATA,GENERAL,,4001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
revision_date_first_sl,22,REV_DATE_FIRST_SL,17,REV_DATE_FIRST_SL,5,,Date the file was first created,date,,,SOILS,SOIL_METADATA,GENERAL,,4001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
revision_date_latest_sl,23,REV_DATE_LATEST_SL,18,REV_DATE_LATEST_SL,6,,Date the file was last modified,date,,,SOILS,SOIL_METADATA,GENERAL,,4001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
revision_notes_sl,14,REVISION_NOTES_SL,14,REVISION_NOTES_SL,7,,Notes describing reasons for the revision,text,memo,,SOILS,SOIL_METADATA,GENERAL,,4001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
soil_citation,13,sl_citation,11,sl_citation,1,,Full citation for soil data,text,text,,SOILS,SOIL_METADATA,GENERAL,,4001,0,,,,,,,3,,0,,,
soil_license,12,sl_license,10,sl_license,1,,License associated with soil data,text,text,,SOILS,SOIL_METADATA,GENERAL,,4001,0,,,,,,,3,,0,,,
person_level,12,PP,2,PP,1,1,id,,,,SOILS,SOIL_METADATA,PERSONS,,4011,0,,,,,,,1,-2,0,,,
