Variable_Name,Name_Length,Code_Display,Code length,Code_Query,Variable_Order,Variable_Key,Description,Unit_or_type,Data_type,Data_length,Dataset,Subset,Group,SubGroup,Set_group_order,Hash_calc,Version_or_questions,Display_Label,Code_synon,MinVal,MaxVal,DSSAT_var,ICASA_standard,AgMIP_data_entry,AgMIP_rating,DSSAT_rating,APSIM_rating,CYCLES
weather_file,12,WST_DATASET,11,WST_DATASET,1,,Weather dataset containing relevant data,text,text,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,,,,,,,1,-2,0,,,
weather_notes,13,WST_NOTES,,WST_NOTES,2,,General notes on the weather dataset,text,memo,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,,.,.,,,,1,0,0,,,
distrib_restrictions_wst,24,WST_DISTRIB,11,WST_DISTRIB,3,,Distribution limitations for the weather data set,text,memo,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,"2013-02-14, 2013-04-18, CHP",.,.,,,,1,-1,0,,,
file_version_wst,16,VERSION_WST,11,VERSION_WST,4,,File version for ICASA standard,text,text,78,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
revision_date_first_wst,23,REV_DATE_FIRST_WST,18,REV_DATE_FIRST_WST,5,,Date the file was first created,date,,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
revision_date_latest_wst,24,REV_DATE_LATEST_WST,19,REV_DATE_LATEST_WST,6,,Date the file was last modified,date,,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
revision_notes_wst,14,REVISION_NOTES_WST,14,REVISION_NOTES_WST,7,,Notes describing reasons for the revision,text,memo,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,"2013-04-18, CHP",.,.,,,,1,-1,0,,,
weather_citation,16,wst_citation,12,wst_citation,1,,Full citation for weather data,text,text,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,"2014-03-17, chp",,,,,,3,,0,,,
weather_license,15,wst_license,11,wst_license,1,,License associated with weather data,text,text,,WEATHER,WEATHER_METADATA,GENERAL,,5001,0,"2014-03-17, chp",,,,,,3,,0,,,
climate_scenario_category,25,CLIM_CAT,8,CLIM_CAT,10,,Climate scenario category,code,text,31,WEATHER,WEATHER_METADATA,GENERAL,AGMIP,5002,1,"2016-04-21, CHP",.,.,,,,1,,0,,,
climate_scenario_id,19,CLIM_ID,7,CLIM_ID,10,,Climate scenario identification code,code,text,31,WEATHER,WEATHER_METADATA,GENERAL,AGMIP,5002,1,"2013-02-22, CHP",.,.,,,,1,,0,,,
researcher_last_name,20,LAST_NAME,9,LAST_NAME,2,,Last name of researchers involved with the experiment(s) or data,text,text,31,WEATHER,WEATHER_METADATA,PERSONS,,5011,0,,.,.,,,,1,-2,0,,,
researcher_first_name,21,FIRST_NAME,10,FIRST_NAME,3,,First name of researchers involved with the experiment(s) or data,text,text,31,WEATHER,WEATHER_METADATA,PERSONS,,5011,0,,,,,,,1,-2,0,,,
researcher_name_mi,18,MID_INITIAL,11,MID_INITIAL,4,,Middle initial of researchers involved with the experiment(s) or data,text,text,10,WEATHER,WEATHER_METADATA,PERSONS,,5011,0,,,,,,,1,-2,0,,,
researcher_role,15,PP_ROLE,7,PP_ROLE,5,,Role of researcher in experiment or dataset preparation,code,text,5,WEATHER,WEATHER_METADATA,PERSONS,,5011,0,,,,,,,1,-2,0,,,
researcher_address,18,WST_ADDRESS,11,WST_ADDRESS,4,,Mailing address of researcher,,,,WEATHER,WEATHER_METADATA,PERSONS,,5011,0,"2014-03-14, chp",,,,,,,,,,,
institute_ID_person,19,IN,2,INP,6,,Links to institutions,,single,,WEATHER,WEATHER_METADATA,PERSONS,,5011,0,,,,,,,1,-2,0,,,
e_mail_address,14,WST_EMAIL,9,WST_EMAIL,7,,E-mail address of researcher,text,text,255,WEATHER,WEATHER_METADATA,PERSONS,,5011,0,,,,,,,1,,0,,,
institute_ID,12,IN,2,IN,1,1,id,,single,,WEATHER,WEATHER_METADATA,INSTITUTIONS,,5012,0,,,,,,,1,-2,0,,,
institute_name,14,INST_NAME,9,INST_NAME,2,,Names of participating institute,text,text,60,WEATHER,WEATHER_METADATA,INSTITUTIONS,,5012,0,,,,,,,1,,0,,,
institute_type,14,IN_TYPE,7,IN_TYPE,3,,Type of participating institutions,code,single,,WEATHER,WEATHER_METADATA,INSTITUTIONS,,5012,0,,,,,,,1,-2,0,,,
institute_role,14,IN_ROLE,7,IN_ROLE,4,,Role of participating institutions,code,single,,WEATHER,WEATHER_METADATA,INSTITUTIONS,,5012,0,,,,,,,1,-2,0,,,
document_ID_wst,,DOC_ID_WST,2,DOC_ID_WST,1,1,id,,single,,WEATHER,WEATHER_METADATA,DOCUMENTS,,5013,0,"2013-04-18, CHP",,,,,,1,-1,0,,,
document_name_wst,,DOCUMENT_WST,8,DOCUMENT_WST,2,,Document name in abbreviated form,text,memo,255,WEATHER,WEATHER_METADATA,DOCUMENTS,,5013,0,"2013-04-18, CHP",,,,,,1,-1,0,,,
digital_object_identifier_wst,,DIGITAL_OBJ_ID_WST,,DIGITAL_OBJ_ID_WST,3,,Digital_object_identifier according to international standard,text,memo,255,WEATHER,WEATHER_METADATA,DOCUMENTS,,5013,0,"2013-04-18, CHP",,,,,,1,-1,0,,,
weather_id,10,WID,,WID,0,1,unique id to link to weather data,number,single,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,,,,,,,1,,0,,,
weather_station_code,20,WST_ID,,WST_ID,1,,Weather station identifier to link to site information,text,text,10,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,,,,,,,1,,2,2,,
weather_station_name,20,WST_NAME,8,WST_NAME,2,,Weather station name,text,text,11,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,"2014-03-17, chp",,,,,,1,,2,2,,
weather_station_site,20,WST_SITE,8,WST_SITE,2,,Name and location of site for weather data,text,text,11,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,"2014-03-17, chp",,,,,,1,,,,,
wsta_location_country,21,WST_LOC_1,9,WST_LOC_1,3,,First admin for location of site for soil profile (usually country),text,text,20,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,,,,,,,1,,0,,,
wsta_loc_2nd_level,,WST_LOC_2,,WST_LOC_2,4,,Second admin level for location of site for soil profile (usually state or province),text,text,20,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,,,,,,,1,,0,,,
wsta_loc_3rd_level,,WST_LOC_3,,WST_LOC_3,5,,Third admin level for location of site for soil profile (usually county or municipality),text,text,20,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,,,,,,,1,,0,,,
weather_sta_latitude,20,WST_LAT,7,WST_LAT,6,,"Latitude of station, degrees decimal with North as positive value",decimal_degrees,single,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,1,,.,.,-80,80,,1,,0,,,
weather_sta_longitude,21,WST_LONG,8,WST_LONG,7,,"Longitude of station, degrees decimals with East as positive value",decimal_degrees,single,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,1,,.,.,-180,180,,1,,0,,,
weather_sta_elevation,21,WST_ELEV,8,WST_ELEV,8,,Elevation of weather station,m,single,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,1,,.,.,-400,"5,000",,1,,0,,,
source_daily_weather,20,WST_SOURCE,10,WST_SOURCE,10,,Source of daily weather data for calculated means or weather generator parameters,text,text,31,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,0,,.,.,,,,1,,0,,,
weather_sta_start_date,22,WST_START_DATE,14,WST_START_DATE,10,,Start date of all weather records from station.,date,,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,,"2017-03-17, jww",,,,,,,,,,,
weather_sta_end_date,20,WST_END_DATE,12,WST_END_DATE,10,,End date of all weather records from station.,date,,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,,"2017-03-17, jww",,,,,,,,,,,
temperature_avg_year,20,TAV,3,TAV,11,,Temperature average for whole year,degree_C,single,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,1,,.,.,-10,40,,1,,2,2,,
temp_range_month_avg,21,TRANGE,,TRANGE,12,,Temperature range (peak to trough) of 12 monthly averages,degree_C,single,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,1,,,TAMP,,,,,,,,,
temp_amplit_month_avg,21,TAMP,4,TAMP,,,Temperature amplitude (peak to trough) of 12 monthly averages,degree_C,single,,WEATHER,WEATHER_STATION,STATION_METADATA,,5041,1,,.,TRANGE,,,,1,,2,2,,
